time,ppg0,ppg1,ppg2,ambient0
47.95069978,282868,283309,225639,-173168
47.96726762,283158,283494,225864,-173195
47.98383546,283515,283820,226126,-173175
48.0004033,283785,284003,226250,-173211
48.01697114,284143,284337,226419,-173235
48.03353898,284440,284607,226612,-173120
48.05010682,284777,284896,226841,-173117
48.066674660000004,285095,285217,227014,-173143
48.083242500000004,285481,285373,227151,-173154
48.09981034,285769,285617,227404,-173183
48.11637818,286060,285902,227588,-173163
48.13294602,286297,286148,227771,-173238
48.14951386,286556,286261,227867,-173225
48.1660817,286724,286342,228018,-173244
48.18264954,286890,286430,228036,-173225
48.19921738,286897,286342,228097,-173205
48.21578522,286865,286298,228243,-173181
48.23235306,286775,286187,228371,-173185
48.2489209,286814,286133,228570,-173125
48.2489209,286988,286278,228888,-173199
48.26902989,287306,286527,229042,-173212
48.28913888,287625,286742,229153,-173187
48.30924787,288126,287025,229304,-173123
48.329356860000004,288618,287244,229342,-173177
48.34946585,289036,287421,229282,-173192
48.36957484,289376,287508,229230,-173200
48.38968383,289613,287644,229273,-173127
48.40979282,289862,287796,229325,-173096
48.429901810000004,290154,287806,229406,-173176
48.4500108,290432,287907,229579,-173160
48.47011979,290748,287978,229704,-173187
48.49022878,291037,288086,229875,-173167
48.51033777,291288,288187,230131,-173184
48.530446760000004,291652,288307,230427,-173170
48.55055575,291152,288312,229927,-173139
48.57066474,291462,288152,229574,-173517
48.59077373,291735,288203,229626,-173485
48.61088272,291912,288275,229140,-173489
48.63099171,292147,288259,229349,-173736
48.6511007,292148,288301,229564,-173400
48.67120969,292198,288749,229836,-173384
48.69131868,291694,288609,229419,-173696
48.71142767,291701,288672,229406,-173237
48.73153666,291543,288928,229162,-173234
48.75164565,291288,289208,229482,-173552
48.77175464,291289,289414,229592,-173468
48.79186363,291082,289222,229376,-173446
48.81197262,291020,289101,229071,-172988
48.83208161,290509,289069,229079,-172560
48.8521906,290558,289322,229333,-172571
48.87229959,290911,289674,229716,-172827
48.89240858,290913,289750,229657,-173000
48.91251757,290497,289558,229160,-173057
48.93262656,290718,289522,229383,-173503
48.95273555,290449,289597,229434,-173619
48.97284454,290737,289853,228954,-173611
48.99295353,290889,289633,228729,-173860
49.01306252,290635,289727,228721,-174169
49.03317151,290140,289278,228991,-174147
49.0532805,289713,289242,229182,-173823
49.0532805,300255,289821,237320,-172957
49.07286108823529,300553,289893,237722,-172993
49.092441676470585,300799,289997,238116,-172914
49.112022264705885,301113,290120,238419,-172992
49.13160285294118,301523,290237,238817,-173019
49.15118344117647,302094,290589,239248,-172961
49.170764029411764,302814,290860,239485,-172918
49.19034461764706,303529,291083,239686,-172912
49.20992520588235,304272,291357,239941,-172959
49.22950579411765,305224,291940,240282,-172937
49.24908638235294,306347,292175,240652,-172802
49.268666970588235,307358,292527,241161,-172869
49.28824755882353,308339,292973,241695,-172871
49.30782814705882,309201,293713,242285,-172885
49.327408735294114,309953,293918,242879,-172920
49.346989323529414,310670,294165,243530,-172932
49.36656991176471,311271,294526,244261,-172935
49.3861505,311904,294803,244946,-172923
49.40573108823529,312937,295107,245761,-172924
49.425311676470585,313304,295462,246693,-172916
49.444892264705885,313698,295799,247469,-172905
49.46447285294118,314193,296107,248303,-172898
49.48405344117647,314653,296510,249048,-172899
49.503634029411764,315297,297098,250012,-172605
49.52321461764706,315948,297771,250979,-172741
49.54279520588235,316789,298553,251970,-172839
49.56237579411765,317686,299404,252775,-172895
49.58195638235294,318467,300116,253074,-172850
49.601536970588235,319099,300647,253168,-172838
49.62111755882353,319585,301262,253036,-172831
49.64069814705882,319916,301804,252816,-172876
49.66027873529411,320304,302443,252583,-172842
49.67985932352941,320457,302917,252180,-172902
